BEST_PARENT,parcels,source,addr
RHYTHM PARTNERS LLC,31,name_only,500 WILSON PIKE CR STE 102 BRENTWOOD TN 37027
BRG LLC,31,name_only,5119 ILLINOIS AVE NASHVILLE TN 37209
FAS BUILDERS INC,31,name_only,1617 NOLENSVILLE RD NASHVILLE TN 37210
SOUTH CENTRAL BELL TELEPHONE CO,31,name_only,CENTRAL BK BUILDING-701 SO 20TH ST BIRMINGHAM AL 35233
JEFF ESTEPP LLC,31,name_only,5010 NEVADA AV NASHVILLE TN 37209
CANAAN BUILDERS LLC,31,name_only,418 EAST VINE ST MURFREESBORO TN 37129
TALBERT CONSTRUCTION ADVISORS LLC,31,name_only,816 AMBLE RD SHOREVIEW MN 55126
JA INVESTOR LLC,31,name_only,503 HILLWOOD BV NASHVILLE TN 37205
SUMMERFIELD DEVELOPMENT LLC,30,name_only,4225 FLORENCE RD
RIVERBROOK HOMEOWNERS ASSOCIATION INC,30,name_only,278 FRANKLIN RD STE 140 C/O ASSOCIA TENNESSEE BRENTWOOD TN 37027
CAPITAL INVEST LLC,30,name_only,728 CRESTMARK DR MOUNT JULIET TN 37122
INVENT COMMUNITIES INC,30,name_only,1010 GLESSNER DR SPRING HILL TN 37174
SNY OF TENNESSEE LLC,30,name_only,6064 CENTRAL PIKE MOUNT JULIET TN 37122
ADAM & JACOBSON INVESTMENTS LLC,30,name_only,908 DIVISION ST APT 1517 NASHVILLE TN 37203
TWIN TEAM LLC THE,30,name_only,2685 N MT JULIET RD MOUNT JULIET TN 37122
CROWELL CAPITAL PARTNERS GP,30,name_only,PO BOX 40101 NASHVILLE TN 37204
GARAFOLA PROPERTIES LLC,30,name_only,4259 COLUMBIA PIKE FRANKLIN TN 37064
TENNESSEE AVENUE DEVELOPMENT LLC,29,name_only,901 BUFORD PL NASHVILLE TN 37204
KURIO PROPERTIES LLC,29,name_only,1405 CHICKERING RD NASHVILLE TN 37215
BRAVO TWO LLC,29,name_only,1100 DOUGLAS AVE NASHVILLE TN 37206
BAPTIST HOSPITAL INC,29,name_only,2000 CHURCH ST NASHVILLE TN 37203
