parid,apn,acct
2638,01100009400,1425
2641,01100009600,1426
2642,01100009700,1427
2643,01100009800,1428
2646,01100009900,1429
2647,01100010000,1430
2648,01100010100,1431
2649,01100010200,1432
2650,01100010300,1433
2668,01100000900,1348
2671,01100001100,1350
2695,01100001600,1355
2696,01100001700,1356
2704,01100002100,1360
2705,01100002200,1361
2712,01100002800,1367
2721,01100002900,1368
2743,01100003300,1372
2745,01100003500,1373
2755,01100003800,1376
2758,01100004100,1379
2760,01100004200,1380
2761,01100004400,1381
2762,01100004500,1382
2763,01100004600,1383
2768,01100004900,1384
2769,01100005000,1385
2773,01100005200,1387
2774,01100005300,1388
2776,01100005500,1390
2777,01100005600,1391
2779,01100005700,1392
2780,01100005800,1393
2795,01100005902,1396
2802,01100006100,1397
2803,01100006200,1398
2804,01100006300,1399
2807,01100006600,1400
2808,01100006700,1401
2810,01100006900,1402
2813,01100007200,1404
2816,01100007400,1406
2819,01100007500,1407
2821,01100007700,1409
2824,01100007900,1411
2826,01100008000,1412
2827,01100008100,1413
2828,01100008200,1414
2829,01100008300,1415
2830,01100008400,1416
2831,01100008500,1417
2832,01100008600,1418
2833,01100008700,1419
2836,01100008900,1421
2838,01100009000,1422
2841,01100014800,1471
2844,01100014900,1472
2845,01100015000,1473
2846,01100015100,1474
2847,01100015200,1475
2848,01100015300,1476
2850,01100015500,1478
2851,01100015600,1479
2852,01100015700,1480
2853,01100015800,1481
2854,01100015900,1482
2855,01100016000,1483
2856,01100016100,1484
2857,01100016200,1485
2859,01100016300,1486
2860,01100016400,1487
2861,01100016500,1488
2864,01100016900,1491
2865,01100017000,1492
2866,01100017100,1493
2869,01100017400,1495
2891,01200001600,1526
2892,01200001700,1527
2900,01100017500,1496
2902,01100017700,1498
2903,01100017800,1499
2905,01100018000,1501
2907,01100018100,1502
2908,01100018200,1503
2910,01100018400,1505
2913,01100018600,201570
2914,01100018700,201571
2916,01100018900,205464
2917,01100019100,213255
2918,01100019200,213256
2919,01100019300,213257
2920,01100019400,213258
2923,01100019700,214352
2924,01100019800,214434
2925,01100019900,214435
2926,01100020000,214436
2927,01100020100,214475
2929,01100020300,217271
2930,01100020400,217467
2931,011150A00100CO,1507
2932,011150A00200CO,1508
2933,011150A00300CO,1509
2934,011150A00400CO,1510
2935,011150A00500CO,1511
2936,011150A00600CO,1512
2937,011150A00700CO,1513
2938,011150A00800CO,1514
2961,01200000600,1517
2963,01200000700,1518
2966,01200000800,1519
2969,01200000900,1521
2970,01200001000,1522
2971,01200001100,1523
3017,01100010700,1436
3018,01100010800,1437
3022,01100011100,1438
3028,01100011300,1440
3030,01100011400,1441
3031,01100011500,1442
3032,01100011600,1443
3035,01100011800,1444
3036,01100011900,1445
3038,01100012000,1446
3044,01100012100,1447
3046,01100012300,1449
3047,01100012400,1450
3050,01100012700,1452
3051,01100012800,1453
3052,01100012900,1454
3053,01100013000,1455
3054,01100013100,1456
3056,01100013300,1458
3060,01100013500,1460
3063,01100013600,1461
3064,01100013700,1462
3066,01100013900,1464
3069,01100014200,1465
3071,01100014300,1466
3072,01100014400,1467
3078,01200008800,1582
3079,01200008900,1583
3082,01200009100,1585
3086,01200009300,1586
3089,01200009500,1588
3091,01200009600,1589
3092,01200009700,1590
3093,01200009800,1591
3094,01200009900,1592
3096,01200010000,1593
3098,01200010200,1595
3110,01200002000,1530
3112,01200002200,1531
3114,01200002300,1532
3115,01200002400,1533
3132,01200002600,1534
3136,01200002700,1535
3139,01200002800,1536
3143,01200003000,1538
3149,01200003200,1540
3151,01200003300,1541
3169,01200003900,1543
3172,01200004000,1544
3178,01200004100,1545
3182,01200004200,1546
3190,01200004400,1548
3194,01200004600,1550
3205,01200005000,1553
3214,01200005100,1554
3215,01200005200,1555
3218,01200005300,1556
3219,01200005400,1557
3224,01200005600,1559
3228,01200005900,1560
3230,01200006000,1561
3231,01200006100,1562
3239,01200006400,1564
3241,01200006600,1566
3244,01200006700,1567
3247,01200006800,1568
3255,01200007500,1571
3257,01200007700,1573
3260,01200007800,1574
3265,01200007900,1575
3268,01200008000,1576
3270,01200008100,1577
3273,01200008200,1578
3275,01200008300,1579
3280,01200008500,1580
3283,01200013600,1629
3284,01200013700,1630
3285,01200013800,1631
3290,01200014000,1632
3296,01200014200,1634
3298,01200014300,1635
3299,01200014400,1636
3300,01200014500,1637
3301,01200014600,1638
3304,01200014900,1640
3310,01200015200,1642
3312,01202002000,1709
3313,01203000100,1710
3316,01203000200,1711
3319,01203000300,1712
3322,01203000400,1713
3323,01203000500,1714
3324,01203000600,1715
3325,01203000700,1716
3326,01203000800,1717
3327,01203000900,1718
3329,01203001100,1720
3330,01203001200,1721
3331,01203001300,1722
3332,01203001400,1723
3333,01203001500,1724
3334,01203001600,1725
3335,01203001700,1726
3336,01203001800,1727
3337,01203001900,1728
3338,01203002000,1729
3339,01203002100,1730
3340,01203002200,1731
3341,01203002300,1732
3343,01200015300,1643
3344,01200015400,1644
3346,01200015500,1645
3353,01200016000,1648
3359,01200016300,1651
3362,01200016500,1653
3364,01200016600,1654
3366,01200016700,1655
3368,01200016800,1656
3371,01200016900,1657
3374,01200017000,1658
3378,01200017100,1659
3384,01200017500,1663
3386,01200017700,1664
3387,01200017800,1665
3388,01200017900,1666
3389,01200018000,1667
3393,01200018200,1669
3395,01200018300,1670
3403,01200018800,1675
3408,01200019100,1678
3409,01200019200,1679
3412,01200019600,1682
3413,01200019700,1683
3414,01200019800,1684
3415,01200019900,1685
3416,01200020000,1686
3417,01200020100,1687
3421,01200020400,1690
3424,01202000100,1691
3427,01202000200,1692
3430,01202000300,1693
3433,01202000400,1694
3436,01202000500,1695
3437,01202000600,1696
3438,01202000700,1697
3444,01202000900,1699
3447,01202001000,1700
3450,01202001100,1701
3457,01202001300,1702
3458,01202001400,1703
3459,01202001500,1704
3460,01202001600,1705
3461,01202001700,1706
3462,01202001800,1707
3463,01202001900,1708
3465,01200010400,1597
3466,01200010500,1598
3467,01200010600,1599
3468,01200010700,1600
3469,01200010800,1601
3470,01200010900,1602
3473,01200011000,1603
3474,01200011100,1604
3475,01200011200,1605
3477,01200011300,1606
3481,01200011400,1607
3482,01200011500,1608
3483,01200011600,1609
3486,01200011800,1611
3488,01200011900,1612
3489,01200012000,1613
